Assignee,Task_Tag,task_count
A-43648,Bug fixing / Maintenance,1
A-4365,Documentation,3
A-4365,Build & Release Engineering,2
A-43651,Bug fixing / Maintenance,1
A-43653,Feature / Improvement Implementation,1
A-43654,Bug fixing / Maintenance,2
A-43655,Bug fixing / Maintenance,1
A-43657,Bug fixing / Maintenance,1
A-43658,Feature / Improvement Implementation,1
A-43659,Bug fixing / Maintenance,1
A-4366,Testing & Verification,10
A-4366,Feature / Improvement Implementation,2
A-4366,Bug fixing / Maintenance,1
A-4366,Documentation,1
A-4366,Performance Optimization,1
A-43660,Bug fixing / Maintenance,1
A-43661,Bug fixing / Maintenance,1
A-43662,Feature / Improvement Implementation,1
A-43663,Bug fixing / Maintenance,1
A-43664,Bug fixing / Maintenance,1
A-43665,Bug fixing / Maintenance,1
A-43668,Bug fixing / Maintenance,1
A-43669,Bug fixing / Maintenance,1
A-4367,Bug fixing / Maintenance,2
A-4367,Documentation,1
A-4367,Feature / Improvement Implementation,1
A-43670,Bug fixing / Maintenance,2
A-43674,Bug fixing / Maintenance,1
A-43675,Project / General Task,1
A-43677,Feature / Improvement Implementation,1
A-43678,Bug fixing / Maintenance,1
A-43679,Bug fixing / Maintenance,1
A-4368,Documentation,1
A-43680,Bug fixing / Maintenance,5
A-43680,Feature / Improvement Implementation,1
A-43681,Bug fixing / Maintenance,1
A-43681,Design & API Evolution,1
A-43683,Bug fixing / Maintenance,4
A-43687,Bug fixing / Maintenance,1
A-4369,Bug fixing / Maintenance,1
A-43691,Bug fixing / Maintenance,1
A-43692,Bug fixing / Maintenance,4
A-43694,Feature / Improvement Implementation,1
A-43695,Bug fixing / Maintenance,1
A-43695,Design & API Evolution,1
A-43696,Design & API Evolution,1
A-43696,Testing & Verification,1
A-437,Bug fixing / Maintenance,1
A-437,Testing & Verification,1
A-4370,Bug fixing / Maintenance,4
A-4370,Feature / Improvement Implementation,1
A-43700,Design & API Evolution,1
A-43702,Feature / Improvement Implementation,2
A-43702,Build & Release Engineering,1
A-43702,Project / General Task,1
A-43704,Bug fixing / Maintenance,6
A-43704,Feature / Improvement Implementation,2
A-43704,Build & Release Engineering,1
A-43705,Bug fixing / Maintenance,1
A-43706,Bug fixing / Maintenance,1
A-43708,Bug fixing / Maintenance,1
A-43709,Design & API Evolution,1
A-4371,Bug fixing / Maintenance,2
A-4371,Performance Optimization,1
A-4371,Testing & Verification,1
A-43710,Feature / Improvement Implementation,1
A-43711,Bug fixing / Maintenance,1
A-43713,Bug fixing / Maintenance,1
A-43714,Bug fixing / Maintenance,1
A-43714,Build & Release Engineering,1
A-43714,Design & API Evolution,1
A-43714,Feature / Improvement Implementation,1
A-43716,Build & Release Engineering,1
A-43719,Bug fixing / Maintenance,2
A-4372,Bug fixing / Maintenance,1
A-43720,Project / General Task,1
A-43722,Other,1
A-43723,Bug fixing / Maintenance,1
A-43728,Feature / Improvement Implementation,1
A-4373,Design & API Evolution,1
A-43730,Bug fixing / Maintenance,1
A-43731,Bug fixing / Maintenance,2
A-43731,Build & Release Engineering,1
A-43732,Bug fixing / Maintenance,1
A-43733,Bug fixing / Maintenance,1
A-43734,Bug fixing / Maintenance,2
A-43735,Bug fixing / Maintenance,3
A-43736,Bug fixing / Maintenance,1
A-43737,Bug fixing / Maintenance,6
A-43737,Design & API Evolution,1
A-43737,Feature / Improvement Implementation,1
A-43738,Design & API Evolution,1
A-43739,Bug fixing / Maintenance,1
A-4374,Design & API Evolution,1
A-43740,Bug fixing / Maintenance,1
A-43741,Bug fixing / Maintenance,1
A-43742,Bug fixing / Maintenance,1
A-43743,Bug fixing / Maintenance,1
A-43744,Design & API Evolution,2
A-43745,Bug fixing / Maintenance,2
A-43747,Bug fixing / Maintenance,1
A-43748,Feature / Improvement Implementation,1
A-4375,Bug fixing / Maintenance,2
A-4375,Feature / Improvement Implementation,2
A-4375,Performance Optimization,1
A-4375,Testing & Verification,1
A-43750,Bug fixing / Maintenance,2
A-43750,Feature / Improvement Implementation,2
A-43751,Bug fixing / Maintenance,2
A-43752,Feature / Improvement Implementation,1
A-43756,Bug fixing / Maintenance,2
A-43756,Performance Optimization,1
A-43757,Bug fixing / Maintenance,1
A-43758,Bug fixing / Maintenance,1
A-4376,Feature / Improvement Implementation,3
A-4376,Build & Release Engineering,1
A-4376,Documentation,1
A-43760,Bug fixing / Maintenance,1
A-43762,Bug fixing / Maintenance,1
A-43763,Bug fixing / Maintenance,1
A-43763,Feature / Improvement Implementation,1
A-43764,Bug fixing / Maintenance,5
A-43764,Feature / Improvement Implementation,3
A-43764,Documentation,1
A-43764,Performance Optimization,1
A-43765,Bug fixing / Maintenance,1
A-43766,Bug fixing / Maintenance,1
A-43767,Bug fixing / Maintenance,1
A-43768,Bug fixing / Maintenance,1
A-4377,Bug fixing / Maintenance,3
A-43770,Bug fixing / Maintenance,1
A-43771,Bug fixing / Maintenance,1
A-43772,Bug fixing / Maintenance,1
A-43775,Performance Optimization,1
A-43776,Bug fixing / Maintenance,1
A-43776,Performance Optimization,1
A-43777,Feature / Improvement Implementation,1
A-43778,Bug fixing / Maintenance,1
A-43779,Bug fixing / Maintenance,1
A-43779,Documentation,1
A-4378,Bug fixing / Maintenance,1
A-43780,Bug fixing / Maintenance,1
A-43781,Bug fixing / Maintenance,1
A-43782,Documentation,1
A-43784,Bug fixing / Maintenance,1
A-43785,Bug fixing / Maintenance,1
A-43787,Bug fixing / Maintenance,1
A-43788,Bug fixing / Maintenance,1
A-43789,Bug fixing / Maintenance,1
A-4379,Bug fixing / Maintenance,4
A-4379,Feature / Improvement Implementation,2
A-4379,Design & API Evolution,1
A-4379,Documentation,1
A-43790,Feature / Improvement Implementation,1
A-43792,Feature / Improvement Implementation,1
A-43793,Bug fixing / Maintenance,1
A-43794,Bug fixing / Maintenance,1
A-43795,Bug fixing / Maintenance,1
A-43797,Bug fixing / Maintenance,1
A-43799,Bug fixing / Maintenance,1
A-438,Feature / Improvement Implementation,4
A-4380,Bug fixing / Maintenance,1
A-43800,Bug fixing / Maintenance,1
A-43804,Bug fixing / Maintenance,1
A-43804,Build & Release Engineering,1
A-43804,Design & API Evolution,1
A-43805,Bug fixing / Maintenance,1
A-43806,Feature / Improvement Implementation,2
A-43807,Bug fixing / Maintenance,1
A-43808,Bug fixing / Maintenance,1
A-4381,Feature / Improvement Implementation,4
A-4381,Build & Release Engineering,2
A-4381,Bug fixing / Maintenance,1
A-43810,Bug fixing / Maintenance,1
A-43811,Performance Optimization,1
A-43812,Bug fixing / Maintenance,1
A-43813,Bug fixing / Maintenance,1
A-43814,Bug fixing / Maintenance,3
A-43814,Build & Release Engineering,1
A-43816,Bug fixing / Maintenance,1
A-43819,Bug fixing / Maintenance,2
A-43819,Feature / Improvement Implementation,2
A-4382,Bug fixing / Maintenance,1
A-43820,Bug fixing / Maintenance,1
A-43821,Documentation,1
A-43821,Feature / Improvement Implementation,1
A-43821,Testing & Verification,1
A-43822,Feature / Improvement Implementation,1
A-43826,Bug fixing / Maintenance,1
A-43827,Bug fixing / Maintenance,6
A-43828,Bug fixing / Maintenance,1
A-43829,Bug fixing / Maintenance,1
A-4383,Bug fixing / Maintenance,2
A-43830,Bug fixing / Maintenance,1
A-43831,Bug fixing / Maintenance,1
A-43836,Testing & Verification,1
A-43839,Bug fixing / Maintenance,1
A-4384,Design & API Evolution,1
A-4384,Feature / Improvement Implementation,1
A-4384,Other,1
A-43840,Feature / Improvement Implementation,1
A-43842,Build & Release Engineering,1
A-43842,Documentation,1
A-43843,Bug fixing / Maintenance,4
A-43843,Design & API Evolution,1
A-43844,Bug fixing / Maintenance,1
A-43845,Bug fixing / Maintenance,1
A-43845,Documentation,1
A-43846,Bug fixing / Maintenance,3
A-43847,Bug fixing / Maintenance,2
A-43848,Build & Release Engineering,1
A-4385,Bug fixing / Maintenance,4
A-4385,Feature / Improvement Implementation,4
A-43850,Bug fixing / Maintenance,2
A-43852,Bug fixing / Maintenance,1
A-43854,Bug fixing / Maintenance,1
A-43857,Testing & Verification,1
A-43859,Bug fixing / Maintenance,1
A-43859,Feature / Improvement Implementation,1
A-4386,Feature / Improvement Implementation,8
A-4386,Performance Optimization,6
A-4386,Testing & Verification,3
A-4386,Bug fixing / Maintenance,2
A-43860,Other,1
A-43865,Bug fixing / Maintenance,1
A-43866,Bug fixing / Maintenance,1
A-43868,Bug fixing / Maintenance,2
A-43869,Feature / Improvement Implementation,1
A-4387,Bug fixing / Maintenance,1
A-43872,Bug fixing / Maintenance,1
A-43875,Documentation,1
A-43877,Bug fixing / Maintenance,2
A-43878,Design & API Evolution,1
A-43878,Other,1
A-43879,Feature / Improvement Implementation,1
A-4388,Bug fixing / Maintenance,1
A-43880,Testing & Verification,1
A-43881,Bug fixing / Maintenance,1
A-43881,Testing & Verification,1
A-43885,Design & API Evolution,1
A-43887,Bug fixing / Maintenance,1
A-43889,Testing & Verification,2
A-43889,Documentation,1
A-4389,Bug fixing / Maintenance,2
A-4389,Feature / Improvement Implementation,2
A-4389,Design & API Evolution,1
A-43890,Bug fixing / Maintenance,2
A-43890,Feature / Improvement Implementation,2
A-43891,Feature / Improvement Implementation,1
A-43893,Bug fixing / Maintenance,2
A-43893,Build & Release Engineering,1
A-43894,Bug fixing / Maintenance,3
A-43895,Project / General Task,1
A-43896,Bug fixing / Maintenance,7
A-43897,Other,1
A-43898,Bug fixing / Maintenance,1
A-43898,Feature / Improvement Implementation,1
A-43898,Performance Optimization,1
A-43899,Bug fixing / Maintenance,1
A-439,Bug fixing / Maintenance,2
A-439,Documentation,1
A-4390,Bug fixing / Maintenance,11
A-4390,Feature / Improvement Implementation,8
A-4390,Documentation,1
A-4390,Testing & Verification,1
A-43900,Bug fixing / Maintenance,1
A-43901,Bug fixing / Maintenance,5
A-43902,Documentation,1
A-43903,Bug fixing / Maintenance,1
A-43904,Bug fixing / Maintenance,1
A-43905,Documentation,1
A-43906,Bug fixing / Maintenance,1
A-43907,Bug fixing / Maintenance,1
A-43908,Bug fixing / Maintenance,1
A-43909,Bug fixing / Maintenance,1
A-4391,Feature / Improvement Implementation,5
A-4391,Build & Release Engineering,1
A-43910,Other,1
A-43911,Feature / Improvement Implementation,2
A-43912,Bug fixing / Maintenance,2
A-43912,Feature / Improvement Implementation,2
A-43913,Bug fixing / Maintenance,1
A-43914,Bug fixing / Maintenance,2
A-43915,Other,1
A-43916,Bug fixing / Maintenance,1
A-43917,Documentation,1
A-43918,Bug fixing / Maintenance,4
A-43919,Bug fixing / Maintenance,2
A-4392,Feature / Improvement Implementation,14
A-4392,Bug fixing / Maintenance,10
A-4392,Documentation,3
A-4392,Design & API Evolution,1
A-4392,Testing & Verification,1
A-43920,Bug fixing / Maintenance,1
A-43921,Feature / Improvement Implementation,6
A-43921,Design & API Evolution,1
A-43922,Bug fixing / Maintenance,1
A-43923,Project / General Task,1
A-43924,Build & Release Engineering,2
A-43925,Bug fixing / Maintenance,1
A-43926,Bug fixing / Maintenance,1
A-43927,Bug fixing / Maintenance,1
A-43928,Bug fixing / Maintenance,2
A-43929,Build & Release Engineering,1
A-4393,Documentation,1
A-43930,Bug fixing / Maintenance,1
A-43931,Feature / Improvement Implementation,4
A-43931,Build & Release Engineering,1
A-43932,Bug fixing / Maintenance,1
A-43933,Bug fixing / Maintenance,1
A-43935,Bug fixing / Maintenance,1
A-43936,Bug fixing / Maintenance,1
A-43937,Build & Release Engineering,1
A-4394,Bug fixing / Maintenance,1
A-4394,Performance Optimization,1
A-43941,Bug fixing / Maintenance,2
A-43941,Documentation,1
A-43943,Feature / Improvement Implementation,1
A-43944,Bug fixing / Maintenance,1
A-43945,Bug fixing / Maintenance,1
A-43946,Bug fixing / Maintenance,2
A-43947,Bug fixing / Maintenance,3
A-43948,Bug fixing / Maintenance,1
A-43948,Build & Release Engineering,1
A-43948,Other,1
A-43949,Bug fixing / Maintenance,1
A-4395,Bug fixing / Maintenance,2
A-4395,Build & Release Engineering,2
A-4395,Feature / Improvement Implementation,2
A-43950,Bug fixing / Maintenance,1
A-43952,Bug fixing / Maintenance,1
A-43953,Bug fixing / Maintenance,1
A-43954,Feature / Improvement Implementation,1
A-43955,Feature / Improvement Implementation,1
A-43956,Bug fixing / Maintenance,1
A-43957,Bug fixing / Maintenance,1
A-43958,Bug fixing / Maintenance,1
A-43959,Bug fixing / Maintenance,2
A-4396,Bug fixing / Maintenance,3
A-4396,Feature / Improvement Implementation,1
A-43961,Bug fixing / Maintenance,1
A-43962,Bug fixing / Maintenance,1
A-43964,Bug fixing / Maintenance,1
A-43966,Feature / Improvement Implementation,1
A-43967,Bug fixing / Maintenance,1
A-4397,Feature / Improvement Implementation,1
A-4397,Performance Optimization,1
A-43970,Bug fixing / Maintenance,1
A-43971,Bug fixing / Maintenance,1
A-43972,Bug fixing / Maintenance,1
A-43973,Documentation,1
A-43974,Feature / Improvement Implementation,1
A-43976,Feature / Improvement Implementation,1
A-43977,Bug fixing / Maintenance,1
A-43978,Bug fixing / Maintenance,1
A-4398,Bug fixing / Maintenance,4
A-4398,Feature / Improvement Implementation,2
A-4398,Design & API Evolution,1
A-43981,Bug fixing / Maintenance,1
A-43982,Build & Release Engineering,1
A-43982,Feature / Improvement Implementation,1
A-43983,Bug fixing / Maintenance,1
A-43986,Bug fixing / Maintenance,1
A-43987,Bug fixing / Maintenance,1
A-43989,Bug fixing / Maintenance,2
A-4399,Bug fixing / Maintenance,15
A-4399,Feature / Improvement Implementation,7
A-4399,Build & Release Engineering,1
A-4399,Testing & Verification,1
A-43991,Testing & Verification,1
A-43994,Bug fixing / Maintenance,3
A-43994,Design & API Evolution,1
A-43994,Feature / Improvement Implementation,1
A-43995,Bug fixing / Maintenance,1
A-43996,Bug fixing / Maintenance,1
A-43996,Feature / Improvement Implementation,1
A-43997,Bug fixing / Maintenance,1
A-43999,Feature / Improvement Implementation,1
A-44,Bug fixing / Maintenance,1
A-440,Documentation,1
A-4400,Bug fixing / Maintenance,4
A-44000,Bug fixing / Maintenance,1
A-44001,Bug fixing / Maintenance,1
A-44003,Bug fixing / Maintenance,1
A-44003,Build & Release Engineering,1
A-44005,Feature / Improvement Implementation,1
A-44006,Bug fixing / Maintenance,1
A-44007,Bug fixing / Maintenance,3
A-44007,Feature / Improvement Implementation,2
A-44008,Bug fixing / Maintenance,1
A-44009,Feature / Improvement Implementation,1
A-4401,Build & Release Engineering,1
A-4401,Feature / Improvement Implementation,1
A-44011,Bug fixing / Maintenance,1
A-44013,Design & API Evolution,1
A-44014,Feature / Improvement Implementation,1
A-44015,Testing & Verification,1
A-44016,Bug fixing / Maintenance,1
A-4402,Bug fixing / Maintenance,4
A-4402,Build & Release Engineering,2
A-4402,Documentation,2
A-44021,Bug fixing / Maintenance,1
A-44025,Bug fixing / Maintenance,1
A-44026,Bug fixing / Maintenance,1
A-44029,Bug fixing / Maintenance,1
A-4403,Documentation,1
A-44031,Bug fixing / Maintenance,2
A-44031,Build & Release Engineering,1
A-44031,Feature / Improvement Implementation,1
A-44031,Project / General Task,1
A-44038,Bug fixing / Maintenance,1
A-44039,Bug fixing / Maintenance,1
A-4404,Bug fixing / Maintenance,1
A-44040,Bug fixing / Maintenance,1
A-44044,Feature / Improvement Implementation,1
A-44046,Bug fixing / Maintenance,1
A-44047,Bug fixing / Maintenance,1
A-44049,Bug fixing / Maintenance,5
A-4405,Bug fixing / Maintenance,1
A-44050,Bug fixing / Maintenance,2
A-44052,Bug fixing / Maintenance,1
A-44053,Feature / Improvement Implementation,1
A-44054,Design & API Evolution,1
A-4406,Bug fixing / Maintenance,2
A-4406,Feature / Improvement Implementation,1
A-44060,Documentation,1
A-44060,Feature / Improvement Implementation,1
A-44061,Feature / Improvement Implementation,4
A-44061,Bug fixing / Maintenance,2
A-44064,Feature / Improvement Implementation,2
A-44064,Bug fixing / Maintenance,1
A-44066,Bug fixing / Maintenance,1
A-44068,Testing & Verification,1
A-44069,Bug fixing / Maintenance,1
A-4407,Design & API Evolution,1
A-44070,Feature / Improvement Implementation,1
A-44072,Feature / Improvement Implementation,1
A-44074,Build & Release Engineering,1
A-44076,Bug fixing / Maintenance,2
A-44077,Bug fixing / Maintenance,1
A-44078,Bug fixing / Maintenance,1
A-44079,Bug fixing / Maintenance,2
A-4408,Bug fixing / Maintenance,7
A-4408,Feature / Improvement Implementation,5
A-4408,Build & Release Engineering,1
A-4408,Design & API Evolution,1
A-4408,Documentation,1
A-44080,Bug fixing / Maintenance,1
A-44080,Build & Release Engineering,1
A-44083,Bug fixing / Maintenance,1
A-44084,Build & Release Engineering,1
A-44085,Feature / Improvement Implementation,1
A-44086,Bug fixing / Maintenance,1
A-44088,Bug fixing / Maintenance,1
A-4409,Bug fixing / Maintenance,1
A-44091,Feature / Improvement Implementation,1
A-44094,Bug fixing / Maintenance,1
A-44098,Bug fixing / Maintenance,1
A-44098,Feature / Improvement Implementation,1
A-441,Bug fixing / Maintenance,2
A-441,Feature / Improvement Implementation,2
A-441,Build & Release Engineering,1
A-4410,Bug fixing / Maintenance,1
A-44100,Feature / Improvement Implementation,1
A-44101,Bug fixing / Maintenance,1
A-44102,Bug fixing / Maintenance,1
A-44103,Feature / Improvement Implementation,1
A-44105,Bug fixing / Maintenance,1
A-44107,Bug fixing / Maintenance,1
A-4411,Documentation,1
A-44110,Bug fixing / Maintenance,1
A-44110,Feature / Improvement Implementation,1
A-44114,Bug fixing / Maintenance,1
A-44117,Bug fixing / Maintenance,46
A-44117,Feature / Improvement Implementation,42
A-44117,Testing & Verification,39
A-44117,Build & Release Engineering,22
A-44117,Documentation,12
A-44117,Project / General Task,9
A-44117,Design & API Evolution,4
A-44117,Other,3
A-44117,Performance Optimization,1
A-44119,Bug fixing / Maintenance,1
A-4412,Other,5
A-4412,Build & Release Engineering,1
A-44122,Bug fixing / Maintenance,4
A-44122,Documentation,2
A-44123,Testing & Verification,2
A-44124,Feature / Improvement Implementation,4
A-44124,Build & Release Engineering,3
A-44124,Performance Optimization,1
A-44125,Bug fixing / Maintenance,1
A-44126,Feature / Improvement Implementation,1
A-44127,Feature / Improvement Implementation,1
A-44128,Feature / Improvement Implementation,1
A-44129,Feature / Improvement Implementation,1
A-4413,Bug fixing / Maintenance,1
A-4413,Performance Optimization,1
A-44130,Bug fixing / Maintenance,8
A-44130,Project / General Task,3
A-44130,Other,1
A-44131,Bug fixing / Maintenance,4
A-44133,Testing & Verification,1
A-44137,Bug fixing / Maintenance,1
A-44137,Build & Release Engineering,1
A-44138,Bug fixing / Maintenance,3
A-44138,Build & Release Engineering,1
A-44138,Feature / Improvement Implementation,1
A-4414,Feature / Improvement Implementation,4
A-4414,Bug fixing / Maintenance,2
A-44141,Bug fixing / Maintenance,1
A-44142,Bug fixing / Maintenance,2
A-44143,Feature / Improvement Implementation,1
A-44146,Build & Release Engineering,1
A-44147,Documentation,2
A-4415,Feature / Improvement Implementation,1
A-44150,Feature / Improvement Implementation,2
A-44150,Bug fixing / Maintenance,1
A-44152,Bug fixing / Maintenance,1
A-44153,Bug fixing / Maintenance,1
A-44154,Bug fixing / Maintenance,1
A-44155,Bug fixing / Maintenance,1
A-44156,Documentation,2
A-44156,Bug fixing / Maintenance,1
A-44157,Bug fixing / Maintenance,1
A-44158,Feature / Improvement Implementation,1
A-44159,Feature / Improvement Implementation,1
A-4416,Bug fixing / Maintenance,1
A-44160,Bug fixing / Maintenance,1
A-44161,Feature / Improvement Implementation,1
A-44162,Build & Release Engineering,1
A-44163,Feature / Improvement Implementation,1
A-44164,Build & Release Engineering,1
A-44165,Bug fixing / Maintenance,1
A-44166,Bug fixing / Maintenance,1
A-44166,Documentation,1
A-44167,Build & Release Engineering,1
A-44168,Feature / Improvement Implementation,3
A-44169,Testing & Verification,1
A-4417,Bug fixing / Maintenance,1
A-44170,Bug fixing / Maintenance,1
A-44171,Feature / Improvement Implementation,1
A-44172,Feature / Improvement Implementation,1
A-44173,Bug fixing / Maintenance,2
A-44174,Bug fixing / Maintenance,1
A-44177,Bug fixing / Maintenance,1
A-44179,Documentation,1
A-4418,Bug fixing / Maintenance,2
A-44181,Bug fixing / Maintenance,1
A-44182,Testing & Verification,1
A-44183,Bug fixing / Maintenance,1
A-44184,Feature / Improvement Implementation,1
A-44185,Feature / Improvement Implementation,1
A-44186,Bug fixing / Maintenance,1
A-44188,Bug fixing / Maintenance,1
A-44189,Testing & Verification,1
A-4419,Other,2
A-44190,Bug fixing / Maintenance,1
A-44191,Bug fixing / Maintenance,1
A-44191,Documentation,1
A-44192,Bug fixing / Maintenance,1
A-44193,Bug fixing / Maintenance,11
A-44193,Feature / Improvement Implementation,9
A-44193,Documentation,1
A-44193,Testing & Verification,1
A-44194,Bug fixing / Maintenance,1
A-44195,Testing & Verification,1
A-44196,Bug fixing / Maintenance,1
A-44197,Documentation,1
A-44198,Bug fixing / Maintenance,1
A-44199,Bug fixing / Maintenance,1
A-442,Feature / Improvement Implementation,5
A-442,Bug fixing / Maintenance,4
A-442,Design & API Evolution,2
A-442,Build & Release Engineering,1
A-442,Documentation,1
A-4420,Bug fixing / Maintenance,2
A-44200,Testing & Verification,1
A-44201,Bug fixing / Maintenance,1
A-44202,Bug fixing / Maintenance,1
A-44203,Bug fixing / Maintenance,1
A-44204,Bug fixing / Maintenance,1
A-44205,Design & API Evolution,1
A-44205,Feature / Improvement Implementation,1
A-44206,Bug fixing / Maintenance,1
A-44207,Bug fixing / Maintenance,1
A-44207,Design & API Evolution,1
A-44207,Feature / Improvement Implementation,1
A-44208,Bug fixing / Maintenance,1
A-44209,Bug fixing / Maintenance,1
A-4421,Bug fixing / Maintenance,4
A-44210,Bug fixing / Maintenance,1
A-44211,Bug fixing / Maintenance,2
A-44211,Build & Release Engineering,2
A-44212,Feature / Improvement Implementation,1
A-44213,Bug fixing / Maintenance,1
A-44214,Bug fixing / Maintenance,2
A-44215,Bug fixing / Maintenance,1
A-44216,Feature / Improvement Implementation,1
A-44217,Bug fixing / Maintenance,1
A-4422,Build & Release Engineering,2
A-44220,Bug fixing / Maintenance,1
A-44221,Bug fixing / Maintenance,1
A-44222,Bug fixing / Maintenance,1
A-44223,Bug fixing / Maintenance,1
A-44224,Feature / Improvement Implementation,2
A-44225,Bug fixing / Maintenance,1
A-44226,Bug fixing / Maintenance,1
A-44227,Bug fixing / Maintenance,1
A-44228,Bug fixing / Maintenance,1
A-4423,Feature / Improvement Implementation,1
A-44230,Feature / Improvement Implementation,1
A-44231,Bug fixing / Maintenance,2
A-44232,Bug fixing / Maintenance,5
A-44233,Feature / Improvement Implementation,1
A-44234,Bug fixing / Maintenance,1
A-44235,Bug fixing / Maintenance,1
A-44236,Bug fixing / Maintenance,1
A-44237,Bug fixing / Maintenance,1
A-44238,Bug fixing / Maintenance,1
A-44239,Bug fixing / Maintenance,1
A-4424,Feature / Improvement Implementation,3
A-4424,Bug fixing / Maintenance,2
A-4424,Other,1
A-44241,Bug fixing / Maintenance,1
A-44242,Bug fixing / Maintenance,2
A-44243,Bug fixing / Maintenance,1
A-44243,Testing & Verification,1
A-44244,Bug fixing / Maintenance,1
A-44245,Bug fixing / Maintenance,1
A-44246,Feature / Improvement Implementation,1
A-44247,Feature / Improvement Implementation,2
A-44247,Bug fixing / Maintenance,1
A-44247,Documentation,1
A-44248,Bug fixing / Maintenance,1
A-44249,Bug fixing / Maintenance,1
A-4425,Bug fixing / Maintenance,3
A-4425,Documentation,1
A-4425,Feature / Improvement Implementation,1
A-44250,Feature / Improvement Implementation,1
A-44251,Bug fixing / Maintenance,1
A-44251,Feature / Improvement Implementation,1
A-44252,Feature / Improvement Implementation,1
A-44253,Bug fixing / Maintenance,1
A-44254,Feature / Improvement Implementation,1
A-44255,Bug fixing / Maintenance,1
A-44256,Testing & Verification,1
A-44257,Bug fixing / Maintenance,1
A-44258,Bug fixing / Maintenance,2
A-44259,Build & Release Engineering,1
A-44259,Feature / Improvement Implementation,1
A-4426,Bug fixing / Maintenance,24
A-4426,Feature / Improvement Implementation,6
A-4426,Performance Optimization,1
A-44261,Bug fixing / Maintenance,2
A-44262,Feature / Improvement Implementation,1
A-44263,Bug fixing / Maintenance,10
A-44263,Code Refactoring & Cleanup,1
A-44263,Documentation,1
A-44263,Feature / Improvement Implementation,1
A-44264,Feature / Improvement Implementation,1
A-44265,Bug fixing / Maintenance,2
A-44265,Feature / Improvement Implementation,2
A-44266,Bug fixing / Maintenance,1
A-44266,Feature / Improvement Implementation,1
A-44267,Bug fixing / Maintenance,10
A-44267,Documentation,6
A-44267,Feature / Improvement Implementation,6
A-44268,Bug fixing / Maintenance,1
A-44268,Feature / Improvement Implementation,1
A-44269,Bug fixing / Maintenance,1
A-44269,Documentation,1
A-44269,Feature / Improvement Implementation,1
A-44269,Testing & Verification,1
A-4427,Feature / Improvement Implementation,1
A-4427,Performance Optimization,1
A-44270,Documentation,1
A-44271,Documentation,3
A-44271,Code Refactoring & Cleanup,1
A-44272,Feature / Improvement Implementation,1
A-44273,Feature / Improvement Implementation,1
A-44274,Feature / Improvement Implementation,1
A-44275,Documentation,1
A-44275,Feature / Improvement Implementation,1
A-44276,Feature / Improvement Implementation,2
A-44277,Performance Optimization,1
A-44278,Feature / Improvement Implementation,1
A-44279,Feature / Improvement Implementation,1
A-4428,Bug fixing / Maintenance,11
A-4428,Documentation,10
A-4428,Feature / Improvement Implementation,10
A-4428,Project / General Task,8
A-4428,Design & API Evolution,4
A-4428,Build & Release Engineering,1
A-4428,Other,1
A-44280,Bug fixing / Maintenance,4
A-44280,Feature / Improvement Implementation,1
A-44281,Bug fixing / Maintenance,1
A-44282,Documentation,1
A-44283,Bug fixing / Maintenance,1
A-44284,Documentation,1
A-44285,Bug fixing / Maintenance,1
A-44286,Bug fixing / Maintenance,1
A-44287,Bug fixing / Maintenance,1
A-44288,Bug fixing / Maintenance,1
A-44289,Documentation,1
A-4429,Design & API Evolution,1
A-4429,Documentation,1
A-4429,Feature / Improvement Implementation,1
A-44290,Bug fixing / Maintenance,1
A-44291,Bug fixing / Maintenance,1
A-44292,Documentation,1
A-44293,Bug fixing / Maintenance,1
A-44293,Testing & Verification,1
A-44294,Testing & Verification,1
A-44295,Bug fixing / Maintenance,1
A-44297,Bug fixing / Maintenance,1
A-44298,Bug fixing / Maintenance,1
A-44299,Other,1
A-443,Bug fixing / Maintenance,1
A-4430,Bug fixing / Maintenance,24
A-4430,Feature / Improvement Implementation,19
A-4430,Build & Release Engineering,2
A-4430,Other,2
A-4430,Performance Optimization,2
A-4430,Documentation,1
A-4430,Testing & Verification,1
A-44300,Other,1
A-44301,Other,1
A-44302,Other,1
A-44302,Project / General Task,1
A-44303,Design & API Evolution,4
A-44303,Project / General Task,1
A-44304,Other,1
A-44304,Project / General Task,1
A-44305,Other,4
A-44305,Testing & Verification,1
A-44306,Other,4
A-44307,Other,1
A-44308,Project / General Task,2
A-44308,Bug fixing / Maintenance,1
A-44308,Other,1
A-44309,Other,6
A-44309,Build & Release Engineering,1
A-44309,Project / General Task,1
A-4431,Bug fixing / Maintenance,1
A-44311,Other,1
A-44312,Other,1
A-44313,Feature / Improvement Implementation,1
A-44313,Other,1
A-44314,Bug fixing / Maintenance,7
A-44314,Build & Release Engineering,1
A-44314,Project / General Task,1
A-44314,Testing & Verification,1
A-44315,Bug fixing / Maintenance,4
A-44315,Feature / Improvement Implementation,1
A-44316,Other,2
A-44316,Bug fixing / Maintenance,1
A-44318,Other,1
A-44319,Other,1
A-4432,Bug fixing / Maintenance,3
A-4432,Build & Release Engineering,2
A-4432,Feature / Improvement Implementation,2
A-4432,Other,2
A-44320,Bug fixing / Maintenance,2
A-44320,Testing & Verification,2
A-44320,Feature / Improvement Implementation,1
A-44320,Other,1
A-44321,Bug fixing / Maintenance,1
A-44321,Other,1
